Attribute Key                                                       ;Description                                                                              ;Family Full Name
TD3A-04                                                             ;Double Unequal Leaf, Single Rabbet Frame 1hr Fire Rated Acoustic STC45 Rated Timber Door ;TD3A-04 - Double Unequal Leaf, Single Rabbet Frame 1hr Fire Rated Acoustic STC45 Rated Timber Door
TD3A-05                                                             ;Double Unequal Leaf, Single Rabbet Frame 1hr Fire Rated Acoustic STC55 Rated Timber Door ;TD3A-05 - Double Unequal Leaf, Single Rabbet Frame 1hr Fire Rated Acoustic STC55 Rated Timber Door
TD3A-06                                                             ;Double Unequal Leaf, Single Rabbet Frame 2hr Fire Rated Timber Door                      ;TD3A-06 - Double Unequal Leaf, Single Rabbet Frame 2hr Fire Rated Timber Door
TD3A-07                                                             ;Double Unequal Leaf, Single Rabbet Frame 2hr Fire Rated Acoustic STC35 Rated Timber Door ;TD3A-07 - Double Unequal Leaf, Single Rabbet Frame 2hr Fire Rated Acoustic STC35 Rated Timber Door
TD3A-08                                                             ;Double Unequal Leaf, Single Rabbet Frame 2hr Fire Rated Acoustic STC45 Rated Timber Door ;TD3A-08 - Double Unequal Leaf, Single Rabbet Frame 2hr Fire Rated Acoustic STC45 Rated Timber Door
TD3A-09                                                             ;Double Unequal Leaf, Single Rabbet Frame 2hr Fire Rated Acoustic STC55 Rated Timber Door ;TD3A-09 - Double Unequal Leaf, Single Rabbet Frame 2hr Fire Rated Acoustic STC55 Rated Timber Door

TD3B Series - Double Unequal Leaf, Double Rabbet Frame Timber Doors
TD3B-01                                                             ;Double Unequal Leaf, Double Rabbet Frame Timber Door                                     ;TD3B-01 - Double Unequal Leaf, Double Rabbet Frame Timber Door
TD3B-02                                                             ;Double Unequal Leaf, Double Rabbet Frame 1hr Fire Rated Timber Door                      ;TD3B-02 - Double Unequal Leaf, Double Rabbet Frame 1hr Fire Rated Timber Door
TD3B-03                                                             ;Double Unequal Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC35 Rated Timber Door ;TD3B-03 - Double Unequal Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC35 Rated Timber Door
TD3B-04                                                             ;Double Unequal Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC45 Rated Timber Door ;TD3B-04 - Double Unequal Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC45 Rated Timber Door
TD3B-05                                                             ;Double Unequal Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC55 Rated Timber Door ;TD3B-05 - Double Unequal Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC55 Rated Timber Door
TD3B-06                                                             ;Double Unequal Leaf, Double Rabbet Frame 2hr Fire Rated Timber Door                      ;TD3B-06 - Double Unequal Leaf, Double Rabbet Frame 2hr Fire Rated Timber Door
TD3B-07                                                             ;Double Unequal Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC35 Rated Timber Door ;TD3B-07 - Double Unequal Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC35 Rated Timber Door
TD3B-08                                                             ;Double Unequal Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC45 Rated Timber Door ;TD3B-08 - Double Unequal Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC45 Rated Timber Door
TD3B-09                                                             ;Double Unequal Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC55 Rated Timber Door ;TD3B-09 - Double Unequal Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC55 Rated Timber Door
